Group,Test,Symbol,Parameter,TestMethod,Alt1,Alt1,Alt3,SampleType,FieldSampleMass,SpecimenType,SpecimenMass,SpecimenNumbers,SpecimenD,SpecimenL,SpecimenW,SpecimenH,SpecimenMaxGrainSize,SpecimenMaxGrainFraction
Triaxial shear strength in extension,Consolidated anisotropic drained,CADe,drained shear strength apparent cohesion angle of friction,,NULL,NULL,NULL,Intact or disturbed,12,Intact reconstituted remoulded,0.2 or 0.8 0.5 or 1.5 1 or 3 3 or 9,1 or 3,38 50 70 100,NULL,NULL,2.0D,D/6,NULL
Permeability ,Falling head in an oedometer,k_oed,permeability coefficient,BS EN ISO 17892-11,NULL,NULL,NULL,NULL,1,NULL,0.2,1,50,NULL,NULL,20,H/6,NULL
Permeability ,Constant head in a Rowe (hydraulic) cell,k_rowe,permeability coefficient,,NULL,NULL,NULL,NULL,1,NULL,0.2,1,70,NULL,NULL,25,H/6,NULL
Permeability ,Constant or falling head in a triaxial cell,k_tc,permeability coefficient,,NULL,NULL,NULL,NULL,12,NULL,0.2 0.5 1 3,1,38 50 70 100,NULL,NULL,1.0D,H/6,NULL
Permeability ,Falling or constant head in a permeater,k20,permeability coefficient,,NULL,NULL,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Dispersibility,Pinhole,phole,soil dispersibility,BS 1377-2:18.1 (2022),NULL,NULL,NULL,Disturbed,0.8,NULL,0.2,1,NULL,NULL,NULL,NULL,2,NULL
Dispersibility,Crumb method,crumb,soil dispersibility,BS1377-2:18.2 (2022),NULL,NULL,NULL,Disturbed,2,Crumbs,0.5,1,NULL,NULL,NULL,NULL,,NULL
Dispersibility,Double hydrometer,dhydro,soil dispersibility,BS1377-2:18.3 (2022),NULL,NULL,NULL,Disturbed,0.8,NULL,0.2,2,NULL,NULL,NULL,NULL,2,NULL
Shear modulus & cyclic tests,Bender elements,BE,shear modulus stiffness compression modulus,ASTM D8295-19,NULL,NULL,NULL,Intact or disturbed,12,Intact reconstituted remoulded,1 3,1,70 100,NULL,NULL,2.0D,NULL,NULL
Shear modulus & cyclic tests,Resonant column-Torsional shear,RC-TS,shear modulus stiffness damping,ASTM D4015-21,NULL,NULL,NULL,Intact or disturbed,5,Intact reconstituted remoulded,1,1,70,NULL,NULL,2.0D,NULL,NULL
Shear modulus & cyclic tests,Cyclic direct simple shear,CDSS,shear modulus stiffness damping,ASTM D8296-19,NULL,NULL,NULL,Intact or disturbed,1,Intact reconstituted remoulded,0.2,1,63.5,NULL,NULL,0.4D,H/10,NULL
Shear modulus & cyclic tests,Strain-controlled cyclic triaxial,CTXG,shear modulus stiffness damping,ASTM D3999/D3999M-11e1 ,NULL,NULL,NULL,Intact or disturbed,12,Intact reconstituted remoulded,3,1,100,NULL,NULL,2.0D,D/6,NULL
Shear modulus & cyclic tests,Load-controlled cyclic triaxial,CTXU,strain shear strain porewater pressure,ASTM D5311/D5311M-13,NULL,NULL,NULL,Intact or disturbed,12,Intact reconstituted remoulded,3,1,100,NULL,NULL,2.0D,D/6,NULL
